time,service_id,path_nodes,path_links,path_delay,path_loss,bottleneck_node,bottleneck_link
114,0,access_0|edge_3|cloud_0,access_0-edge_3|edge_3-cloud_0,65.43069,0.00421,edge_3,access_0-edge_3
114,1,access_1|edge_0|cloud_0,access_1-edge_0|edge_0-cloud_0,62.89473,0.012602,edge_0,access_1-edge_0
114,2,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,68.09557,0.012861,edge_2,edge_2-cloud_0
115,0,access_0|edge_3|cloud_0,access_0-edge_3|edge_3-cloud_0,83.07838,0.090539,edge_3,access_0-edge_3
115,1,access_1|edge_0|cloud_0,access_1-edge_0|edge_0-cloud_0,85.41277,0.091365,edge_0,edge_0-cloud_0
115,2,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,86.69755,0.094653,edge_2,access_0-edge_2
116,0,access_0|edge_3|cloud_0,access_0-edge_3|edge_3-cloud_0,87.10016,0.09319,edge_3,access_0-edge_3
116,1,access_1|edge_0|cloud_0,access_1-edge_0|edge_0-cloud_0,87.02237,0.08705,edge_0,access_1-edge_0
116,2,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,80.59922,0.089657,edge_2,access_0-edge_2
117,0,access_0|edge_3|cloud_0,access_0-edge_3|edge_3-cloud_0,85.92452,0.093232,edge_3,access_0-edge_3
117,1,access_1|edge_0|cloud_0,access_1-edge_0|edge_0-cloud_0,86.39772,0.094985,edge_0,edge_0-cloud_0
117,2,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,85.15173,0.091116,edge_2,edge_2-cloud_0
118,0,access_0|edge_3|cloud_0,access_0-edge_3|edge_3-cloud_0,84.45606,0.086864,edge_3,edge_3-cloud_0
118,1,access_1|edge_0|cloud_0,access_1-edge_0|edge_0-cloud_0,81.66357,0.090525,edge_0,access_1-edge_0
118,2,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,83.19818,0.089371,edge_2,edge_2-cloud_0
119,0,access_0|edge_3|cloud_0,access_0-edge_3|edge_3-cloud_0,83.55445,0.089448,edge_3,edge_3-cloud_0
119,1,access_1|edge_0|cloud_0,access_1-edge_0|edge_0-cloud_0,84.51695,0.095235,edge_0,edge_0-cloud_0
119,2,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,86.96311,0.093158,edge_2,access_0-edge_2
120,0,access_0|edge_3|cloud_0,access_0-edge_3|edge_3-cloud_0,84.82088,0.091702,edge_3,access_0-edge_3
120,1,access_1|edge_0|cloud_0,access_1-edge_0|edge_0-cloud_0,84.14517,0.094418,edge_0,edge_0-cloud_0
120,2,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,83.4773,0.091285,edge_2,edge_2-cloud_0
121,0,access_0|edge_3|cloud_0,access_0-edge_3|edge_3-cloud_0,84.3991,0.092748,edge_3,access_0-edge_3
121,1,access_1|edge_0|cloud_0,access_1-edge_0|edge_0-cloud_0,82.83194,0.089381,edge_0,access_1-edge_0
121,2,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,85.54699,0.091316,edge_2,access_0-edge_2
