time,service_id,path_nodes,path_links,path_delay,path_loss,bottleneck_node,bottleneck_link
59,1,access_1|edge_3|cloud_0,access_1-edge_3|edge_3-cloud_0,86.52945,0.060851,edge_3,edge_3-cloud_0
59,2,access_0|edge_0|cloud_0,access_0-edge_0|edge_0-cloud_0,76.36834,0.049466,edge_0,edge_0-cloud_0
60,0,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,82.51225,0.061264,edge_1,edge_1-cloud_0
60,1,access_1|edge_3|cloud_0,access_1-edge_3|edge_3-cloud_0,84.87775,0.058326,edge_3,access_1-edge_3
60,2,access_0|edge_0|cloud_0,access_0-edge_0|edge_0-cloud_0,80.56488,0.054752,edge_0,edge_0-cloud_0
61,0,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,77.72,0.057019,edge_1,access_0-edge_1
61,1,access_1|edge_3|cloud_0,access_1-edge_3|edge_3-cloud_0,83.24099,0.061079,edge_3,access_1-edge_3
61,2,access_0|edge_0|cloud_0,access_0-edge_0|edge_0-cloud_0,75.23162,0.052921,edge_0,edge_0-cloud_0
62,0,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,80.78132,0.054875,edge_1,edge_1-cloud_0
62,1,access_1|edge_3|cloud_0,access_1-edge_3|edge_3-cloud_0,82.49668,0.063227,edge_3,access_1-edge_3
62,2,access_0|edge_0|cloud_0,access_0-edge_0|edge_0-cloud_0,78.27675,0.051347,edge_0,edge_0-cloud_0
63,0,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,82.8633,0.061764,edge_1,edge_1-cloud_0
63,1,access_1|edge_3|cloud_0,access_1-edge_3|edge_3-cloud_0,83.72553,0.055529,edge_3,edge_3-cloud_0
63,2,access_0|edge_0|cloud_0,access_0-edge_0|edge_0-cloud_0,74.70884,0.053433,edge_0,access_0-edge_0
64,0,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,80.99847,0.060472,edge_1,access_0-edge_1
64,1,access_1|edge_3|cloud_0,access_1-edge_3|edge_3-cloud_0,80.41631,0.060948,edge_3,edge_3-cloud_0
64,2,access_0|edge_0|cloud_0,access_0-edge_0|edge_0-cloud_0,77.12019,0.051717,edge_0,edge_0-cloud_0
65,0,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,84.70856,0.058034,edge_1,access_0-edge_1
65,1,access_1|edge_3|cloud_0,access_1-edge_3|edge_3-cloud_0,80.80064,0.055935,edge_3,edge_3-cloud_0
65,2,access_0|edge_0|cloud_0,access_0-edge_0|edge_0-cloud_0,80.84286,0.055426,edge_0,access_0-edge_0
66,0,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,82.62992,0.06206,edge_1,access_0-edge_1
66,1,access_1|edge_3|cloud_0,access_1-edge_3|edge_3-cloud_0,81.25164,0.061102,edge_3,edge_3-cloud_0
66,2,access_0|edge_0|cloud_0,access_0-edge_0|edge_0-cloud_0,76.78635,0.047692,edge_0,edge_0-cloud_0
67,0,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,81.62581,0.062152,edge_1,access_0-edge_1
67,1,access_1|edge_3|cloud_0,access_1-edge_3|edge_3-cloud_0,82.57981,0.063833,edge_3,access_1-edge_3
67,2,access_0|edge_0|cloud_0,access_0-edge_0|edge_0-cloud_0,74.16816,0.047632,edge_0,access_0-edge_0
68,0,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,83.06793,0.054584,edge_1,edge_1-cloud_0
68,1,access_1|edge_3|cloud_0,access_1-edge_3|edge_3-cloud_0,82.24322,0.051812,edge_3,edge_3-cloud_0
68,2,access_0|edge_0|cloud_0,access_0-edge_0|edge_0-cloud_0,71.11236,0.046278,edge_0,access_0-edge_0
69,0,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,84.79495,0.059749,edge_1,edge_1-cloud_0
69,1,access_1|edge_3|cloud_0,access_1-edge_3|edge_3-cloud_0,84.26052,0.066951,edge_3,edge_3-cloud_0
69,2,access_0|edge_0|cloud_0,access_0-edge_0|edge_0-cloud_0,79.95592,0.050923,edge_0,edge_0-cloud_0
70,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,64.25203,0.011854,edge_2,access_0-edge_2
70,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,65.61244,0.009201,edge_4,edge_4-cloud_0
70,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,64.58852,0.009536,edge_1,access_0-edge_1
71,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,65.15364,0.007857,edge_2,edge_2-cloud_0
71,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,61.61753,0.009014,edge_4,access_1-edge_4
71,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,63.30552,0.005697,edge_1,access_0-edge_1
72,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,63.00798,0.010473,edge_2,access_0-edge_2
72,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,65.76485,0.014956,edge_4,edge_4-cloud_0
72,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,64.89115,0.00824,edge_1,edge_1-cloud_0
73,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,63.90644,0.010368,edge_2,edge_2-cloud_0
73,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,61.70873,0.009678,edge_4,access_1-edge_4
73,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,61.53658,0.007084,edge_1,edge_1-cloud_0
74,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,64.8392,0.009776,edge_2,access_0-edge_2
74,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,65.79463,0.007137,edge_4,edge_4-cloud_0
74,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,64.27963,0.009789,edge_1,edge_1-cloud_0
75,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,60.2303,0.005644,edge_2,access_0-edge_2
75,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,63.45493,0.010024,edge_4,edge_4-cloud_0
75,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,64.40706,0.004789,edge_1,edge_1-cloud_0
76,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,64.9161,0.010961,edge_2,access_0-edge_2
76,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,62.62812,0.009531,edge_4,access_1-edge_4
76,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,63.61444,0.012484,edge_1,edge_1-cloud_0
77,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,63.19124,0.002504,cloud_0,edge_2-cloud_0
77,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,66.41014,0.005243,edge_4,edge_4-cloud_0
77,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,63.4818,0.002146,cloud_0,edge_1-cloud_0
78,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,62.16244,0.009796,edge_2,access_0-edge_2
78,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,62.72961,0.008438,edge_4,edge_4-cloud_0
78,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,60.13837,0.006743,edge_1,access_0-edge_1
79,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,63.1388,0.013306,edge_2,access_0-edge_2
79,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,63.37798,0.012256,edge_4,access_1-edge_4
79,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,59.86724,0.007662,edge_1,access_0-edge_1
80,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,62.79848,0.005072,edge_2,access_0-edge_2
80,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,65.78236,0.009238,cloud_0,access_1-edge_4
80,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,62.86924,0.010157,cloud_0,access_0-edge_1
81,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,65.92403,0.003216,cloud_0,edge_2-cloud_0
81,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,61.41368,0.011609,cloud_0,access_1-edge_4
81,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,65.35195,0.008486,cloud_0,edge_1-cloud_0
82,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,65.99235,0.006112,edge_2,edge_2-cloud_0
82,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,67.02204,0.00759,cloud_0,edge_4-cloud_0
82,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,65.38117,0.010659,cloud_0,access_0-edge_1
83,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,68.0652,0.008555,edge_2,access_0-edge_2
